product_id,product_name,category,unit_price,in_stock,added_date
1,Wireless Mouse,Electronics,19.99,1,2023-03-12
2,Mechanical Keyboard,Electronics,89.50,1,2023-01-20
3,USB-C Hub,Electronics,34.75,1,2023-05-02
4,Office Chair,Furniture,145.00,0,2022-11-15
5,Standing Desk,Furniture,320.00,1,2023-02-10
6,Notebook Pack,Stationery,8.99,1,2023-06-01
7,Desk Lamp,Furniture,27.30,1,2022-09-18
8,Bluetooth Speaker,Electronics,54.20,0,2023-04-07
9,Ballpoint Pens Box of 12,Stationery,4.50,1,2023-01-05
10,Monitor Stand,Furniture,42.00,1,2023-03-28
11,Webcam HD,Electronics,65.99,1,2022-12-11
12,Whiteboard,Stationery,58.40,0,2023-05-19
13,Laptop Sleeve,Accessories,22.15,1,2023-02-25
14,External Hard Drive 1TB,Electronics,79.99,1,2023-06-14
15,Sticky Notes Pack,Stationery,3.25,1,2022-10-30
16,Ergonomic Footrest,Furniture,31.60,0,2023-01-17
17,Wireless Charger,Electronics,24.99,1,2023-04-22
18,Filing Cabinet,Furniture,110.00,1,2022-08-09
19,Highlighter Set,Stationery,6.75,1,2023-03-03
20,Noise Cancelling Headphones,Electronics,199.99,1,2023-05-30
