vehicle_id,registration,vehicle_type,vehicle_class,capacity_kg,capacity_pallets,model_year,home_facility_id,carrier_id,euro_emission_std,is_active
1,2TM-312,Van 3t,Van,3000,12,2016,19,2,Euro 5,1
2,2FY-202,Rigid 8t,Rigid,8000,32,2022,21,5,Euro 6,1
3,2GS-549,Rigid 12t,Rigid,12000,48,2025,3,4,Euro 4,1
4,1RN-220,Rigid 8t,Rigid,8000,32,2022,20,9,Euro 6,1
5,2XQ-299,Rigid 8t,Rigid,8000,32,2015,22,2,Euro 4,1
6,1VB-812,Refrigerated Rigid,Rigid,10000,40,2024,32,2,Euro 5,1
7,1VY-541,Semi Trailer,Articulated,25000,34,2017,45,10,Euro 6,1
8,2WO-208,Rigid 12t,Rigid,12000,48,2022,32,10,Euro 5,1
9,1AM-556,Semi Trailer,Articulated,25000,34,2023,29,3,Euro 6,1
10,1NZ-831,Refrigerated Rigid,Rigid,10000,40,2015,10,3,Euro 5,1
11,2GW-748,Refrigerated Rigid,Rigid,10000,40,2017,17,3,Euro 6,1
12,2TX-256,Van 3t,Van,3000,12,2021,5,1,Euro 5,1
13,2PN-468,Semi Trailer,Articulated,25000,34,2021,11,2,Euro 6,1
14,2DJ-697,Rigid 8t,Rigid,8000,32,2023,36,1,Euro 4,1
15,1LP-952,Rigid 12t,Rigid,12000,48,2017,27,6,Euro 5,1
16,2AM-300,Road Train,Articulated,78000,90,2021,9,4,Euro 4,1
17,2EC-166,Rigid 12t,Rigid,12000,48,2022,10,3,Euro 6,1
18,2RW-206,Semi Trailer,Articulated,25000,34,2017,31,2,Euro 5,1
19,1RF-974,Road Train,Articulated,78000,90,2023,24,4,Euro 5,1
20,2CR-719,B-Double,Articulated,42000,60,2020,37,3,Euro 4,1
21,2VU-552,Rigid 12t,Rigid,12000,48,2017,15,1,Euro 5,1
22,2PK-419,Rigid 12t,Rigid,12000,48,2023,36,9,Euro 5,1
23,2XC-883,Semi Trailer,Articulated,25000,34,2023,4,3,Euro 4,1
24,1DE-928,Van 3t,Van,3000,12,2024,33,1,Euro 5,1
25,2TV-894,Rigid 8t,Rigid,8000,32,2025,20,1,Euro 6,1
26,2WD-287,Rigid 8t,Rigid,8000,32,2014,37,5,Euro 5,1
27,2ZT-997,Refrigerated Rigid,Rigid,10000,40,2020,23,10,Euro 5,1
28,2DV-622,Semi Trailer,Articulated,25000,34,2024,46,1,Euro 6,1
29,2ZC-355,Rigid 8t,Rigid,8000,32,2024,37,2,Euro 6,1
30,2XT-137,Road Train,Articulated,78000,90,2021,49,1,Euro 6,1
