customer_id,customer_name,account_number,industry,customer_tier,billing_location_id,contact_email,credit_limit_aud,payment_terms_days,onboarded_date,account_manager_staff_id,is_active
1,Hunter Logistics Partners,MFG000001,Industrial,Silver,29,accounts@hunter14.com.au,500000,30,2018-02-13,256,1
2,Riverina Freight Services,MFG000002,Agriculture,Bronze,3,accounts@riverina62.com.au,50000,60,2020-06-02,238,1
3,Yarra Group,MFG000003,Automotive,Gold,3,accounts@yarra75.com.au,50000,14,2022-02-04,12,1
4,Kakadu Imports,MFG000004,Hospitality,Silver,32,accounts@kakadu87.com.au,25000,30,2019-04-04,190,1
5,Murray Merchants,MFG000005,Apparel,Silver,42,accounts@murray32.com.au,50000,45,2022-09-25,206,1
6,Torrens Manufacturing,MFG000006,Hospitality,Silver,44,accounts@torrens53.com.au,50000,60,2018-12-16,178,1
7,Mallee Distribution,MFG000007,Hospitality,Platinum,7,accounts@mallee91.com.au,1000000,60,2019-09-11,238,1
8,Grampians Commodities,MFG000008,Hospitality,Bronze,37,accounts@grampians38.com.au,50000,30,2021-06-13,84,1
9,Riverina Traders,MFG000009,Hospitality,Silver,15,accounts@riverina22.com.au,100000,30,2024-01-06,146,1
10,Grampians Provisions,MFG000010,Automotive,Gold,39,accounts@grampians61.com.au,100000,30,2024-03-10,244,1
11,Riverina Warehousing,MFG000011,Mining Services,Bronze,29,accounts@riverina36.com.au,500000,30,2019-03-02,223,1
12,Coolabah Retail Group,MFG000012,FMCG,Bronze,35,accounts@coolabah42.com.au,25000,60,2023-09-02,208,1
13,Gippsland Components,MFG000013,Electronics,Silver,5,accounts@gippsland59.com.au,50000,30,2024-05-17,84,1
14,Tanami Partners,MFG000014,Healthcare,Bronze,3,accounts@tanami92.com.au,100000,30,2023-05-30,84,1
15,Banksia Wholesale,MFG000015,Apparel,Bronze,34,accounts@banksia36.com.au,250000,45,2023-04-01,256,1
16,Gippsland Imports,MFG000016,FMCG,Silver,17,accounts@gippsland22.com.au,100000,45,2022-02-06,244,1
17,Tanami Merchants,MFG000017,Grocery,Bronze,20,accounts@tanami23.com.au,1000000,60,2020-05-06,68,1
18,Blackwood Holdings,MFG000018,Agriculture,Silver,38,accounts@blackwood17.com.au,25000,30,2019-01-07,68,1
19,Sunraysia Partners,MFG000019,Apparel,Silver,38,accounts@sunraysia30.com.au,1000000,30,2019-02-09,56,1
20,Bellarine Exports,MFG000020,Healthcare,Bronze,4,accounts@bellarine76.com.au,50000,45,2019-05-09,167,1
21,Tanami Wholesale,MFG000021,Grocery,Silver,6,accounts@tanami70.com.au,500000,14,2018-04-26,35,1
22,Banksia Provisions,MFG000022,Agriculture,Gold,2,accounts@banksia48.com.au,250000,30,2018-11-02,167,1
23,Swan Group,MFG000023,Mining Services,Gold,5,accounts@swan14.com.au,250000,30,2020-08-13,223,1
24,Kimberley Exports,MFG000024,Industrial,Silver,25,accounts@kimberley72.com.au,250000,30,2024-06-28,146,1
25,Sunraysia Solutions,MFG000025,Grocery,Bronze,35,accounts@sunraysia74.com.au,500000,14,2021-03-19,241,1
26,Torrens Group,MFG000026,Mining Services,Silver,24,accounts@torrens91.com.au,50000,30,2018-12-09,146,1
27,Kakadu Provisions,MFG000027,FMCG,Bronze,16,accounts@kakadu91.com.au,100000,30,2023-10-25,213,1
28,Kimberley Imports,MFG000028,FMCG,Silver,11,accounts@kimberley43.com.au,25000,30,2021-04-20,86,1
29,Redgum Group,MFG000029,Healthcare,Bronze,9,accounts@redgum1.com.au,50000,60,2022-08-18,190,1
30,Harbour Freight Services,MFG000030,Agriculture,Bronze,31,accounts@harbour62.com.au,50000,45,2023-09-24,132,1
31,Gippsland Distribution,MFG000031,Industrial,Silver,30,accounts@gippsland51.com.au,25000,30,2023-10-11,84,1
32,Blackwood Components,MFG000032,Industrial,Silver,11,accounts@blackwood53.com.au,50000,60,2021-06-12,64,1
33,Sunraysia Freight Services,MFG000033,Grocery,Gold,4,accounts@sunraysia89.com.au,100000,30,2023-12-08,15,1
34,Sunraysia Components,MFG000034,Hospitality,Gold,24,accounts@sunraysia51.com.au,100000,45,2023-04-22,5,1
35,Daintree Traders,MFG000035,Industrial,Silver,37,accounts@daintree54.com.au,500000,30,2019-08-25,177,1
36,Tanami Exports,MFG000036,Grocery,Bronze,41,accounts@tanami32.com.au,25000,30,2019-05-11,256,1
37,Sunraysia Enterprises,MFG000037,Mining Services,Bronze,9,accounts@sunraysia47.com.au,1000000,30,2019-03-08,35,1
38,Kingsford Supply Co,MFG000038,Apparel,Silver,22,accounts@kingsford73.com.au,1000000,30,2023-07-28,104,1
39,Mallee Partners,MFG000039,Grocery,Gold,42,accounts@mallee88.com.au,25000,60,2018-05-18,177,1
40,Banksia Agencies,MFG000040,Healthcare,Silver,49,accounts@banksia67.com.au,50000,30,2024-03-06,123,1
41,Torrens Exports,MFG000041,,Bronze,35,accounts@torrens69.com.au,50000,60,2018-09-10,30,1
42,Mallee Supply Co,MFG000042,,Platinum,33,accounts@mallee38.com.au,50000,14,2021-05-24,167,1
43,Redgum Exports,MFG000043,Construction,Silver,23,accounts@redgum50.com.au,500000,45,2024-04-04,123,1
44,Bellarine Manufacturing,MFG000044,Hospitality,Bronze,11,accounts@bellarine7.com.au,25000,30,2019-04-09,5,1
45,Blackwood Manufacturing,MFG000045,Automotive,Bronze,24,accounts@blackwood3.com.au,25000,30,2020-11-06,29,1
46,Banksia Retail Group,MFG000046,Healthcare,Platinum,24,accounts@banksia44.com.au,25000,30,2024-01-06,256,1
47,Grampians Trading,MFG000047,Grocery,Silver,40,accounts@grampians31.com.au,25000,45,2018-04-10,208,1
48,Flinders Foods,MFG000048,Mining Services,Gold,36,accounts@flinders91.com.au,25000,60,2020-10-11,177,1
49,Swan Agencies,MFG000049,Automotive,Gold,46,accounts@swan13.com.au,25000,30,2021-10-11,154,1
50,Kingsford Provisions,MFG000050,Hospitality,Bronze,21,accounts@kingsford55.com.au,500000,30,2018-07-11,132,1
51,Hunter Traders,MFG000051,Mining Services,Silver,16,accounts@hunter67.com.au,100000,30,2022-11-21,68,1
52,Daintree Merchants,MFG000052,Industrial,Gold,1,accounts@daintree52.com.au,250000,14,2018-08-03,86,1
53,Nullarbor Manufacturing,MFG000053,,Silver,7,accounts@nullarbor42.com.au,50000,45,2024-05-18,5,1
54,Bellarine Imports,MFG000054,Healthcare,Bronze,29,accounts@bellarine37.com.au,500000,45,2021-03-01,132,1
55,Redgum Industries,MFG000055,Retail,Bronze,29,accounts@redgum48.com.au,50000,30,2021-08-08,234,1
56,Mornington Manufacturing,MFG000056,Mining Services,Bronze,24,accounts@mornington14.com.au,25000,30,2022-08-26,137,1
57,Derwent Distribution,MFG000057,Grocery,Silver,1,accounts@derwent5.com.au,25000,60,2023-11-20,206,1
58,Yarra Components,MFG000058,FMCG,Bronze,10,accounts@yarra94.com.au,100000,45,2018-02-10,108,1
59,Hunter Holdings,MFG000059,Automotive,Gold,21,accounts@hunter78.com.au,25000,30,2018-05-15,227,1
60,Redgum Foods,MFG000060,Agriculture,Silver,25,accounts@redgum81.com.au,500000,30,2024-02-18,206,1
61,Yarra Freight Services,MFG000061,Agriculture,Silver,48,accounts@yarra5.com.au,100000,30,2018-06-14,206,1
62,Riverina Exports,MFG000062,Electronics,Platinum,19,accounts@riverina19.com.au,50000,30,2018-08-06,84,1
63,Yarra Exports,MFG000063,FMCG,Bronze,14,accounts@yarra13.com.au,500000,60,2023-07-11,35,1
64,Riverina Manufacturing,MFG000064,,Silver,48,accounts@riverina15.com.au,100000,45,2019-03-21,213,1
65,Harbour Provisions,MFG000065,Apparel,Bronze,38,accounts@harbour26.com.au,100000,45,2018-08-22,84,1
66,Banksia Warehousing,MFG000066,Hospitality,Bronze,20,accounts@banksia79.com.au,100000,30,2018-02-10,244,1
67,Gippsland Warehousing,MFG000067,Construction,Gold,26,accounts@gippsland21.com.au,50000,60,2019-06-07,244,1
68,Redgum Solutions,MFG000068,Construction,Platinum,11,accounts@redgum59.com.au,50000,60,2021-04-19,123,1
69,Harbour Holdings,MFG000069,Retail,Gold,39,accounts@harbour59.com.au,100000,60,2022-08-23,35,1
70,Mornington Holdings,MFG000070,FMCG,Gold,42,accounts@mornington90.com.au,25000,30,2019-01-25,84,1
71,Murray Components,MFG000071,Mining Services,Silver,13,accounts@murray99.com.au,250000,60,2018-03-30,137,1
72,Brisbane River Solutions,MFG000072,Construction,Bronze,18,accounts@brisbane42.com.au,250000,30,2018-10-16,238,1
73,Wattle Traders,MFG000073,Retail,Bronze,2,accounts@wattle32.com.au,100000,45,2018-10-12,213,1
